Title,Type of Ban,Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
The Devouring Gray (The Devouring Gray Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Who Is Derek Jeter? (Who was...? Series),Banned in Classrooms,"Thomson, Andrew",,Pennsylvania,Central York School District,Aug-21,Administrator
Sal and Gabi Break the Universe (Sal and Gabi Series),Banned in Classrooms,,,North Carolina,Wilkes County School District,May-22,Administrator
The War Outside,Banned Pending Investigation,,,Texas,Katy Independent School District,Jan-22,Administrator
Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned in Libraries and Classrooms,,,Wisconsin,School District of Waukesha,Dec-21,Administrator
Rethinking Normal: A Memoir in Transition,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
When the Beat Was Born: DJ Kool Herc and the Creation of Hip Hop,Banned in Classrooms,"Taylor III, Theodore",,Pennsylvania,Central York School District,Aug-21,Administrator
Black Lives Matter: From a Moment to a Movement,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
"The Birds, the Bees, and You and Me",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Outsiders,Banned in Libraries,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
The Night Diary,Banned Pending Investigation,,,Florida,Duval County Public Schools,Jan-22,Administrator
One True Way,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Hush! A Thai Lullaby,Banned Pending Investigation,"Meade, Holly",,Florida,Duval County Public Schools,Jan-22,Administrator
Archenemy,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Best Best Colors: Los mejores colores,Banned in Libraries,"Henriquez, Celeste",,Texas,North East Independent School District,Dec-21,Administrator
Amazing Grace (Grace Series),Banned in Classrooms,"Binch, Caroline",,Pennsylvania,Central York School District,Aug-21,Administrator
Jacob's New Dress,Banned Pending Investigation,"Case, Chris",,Texas,North East Independent School District,Dec-21,Administrator
Jacob's Room to Choose,Banned Pending Investigation,"Case, Chris",,Texas,North East Independent School District,Dec-21,Administrator
"Culturally and Linguistically Responsive Teaching and Learning – Classroom Practices for Student Success, Grades K-12",Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
"Hang-ups, Hook-ups, and Holding Out: Stuff You Need to Know about Your Body, Sex, and Dating",Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Redwood and Ponytail,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Jack,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
Jack,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Lovely,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Teaching to Transgress: Education as the Practice of Freedom,Banned in Classrooms,,,Pennsylvania,Central York School District,Aug-21,Administrator
Burned (Burned Series),Banned in Classrooms,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Burned (Burned Series),Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
Crank (Crank Series),Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
Crank (Crank Series),Banned in Libraries,,,Florida,Indian River County School District,Nov-21,Administrator
Crank (Crank Series),Banned in Libraries,,,Georgia,Cherokee County School District,Jan-22,Formal Challenge
Crank (Crank Series),Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
Crank (Crank Series),Banned in Libraries,,,Indiana,Carmel Clay Schools,Jul-21,Administrator
Crank (Crank Series),Banned Pending Investigation,,,Kansas,Goddard Public Schools,Nov-21,Administrator
Crank (Crank Series),Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Crank (Crank Series),Banned in Classrooms,,,Oklahoma,Bristow Public Schools,Oct-21,Administrator
Crank (Crank Series),Banned in Libraries,,,Tennessee,Wilson County School District,May-22,Other
Crank (Crank Series),Banned in Libraries and Classrooms,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Crank (Crank Series),Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
Crank (Crank Series),Banned in Libraries,,,Wisconsin,School District of Waukesha,Dec-21,Administrator
Fallout (Crank Series),Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Fallout (Crank Series),Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
Glass (Crank Series),Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
Identical,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Identical,Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
Impulse (Impulse Series),Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
Impulse (Impulse Series),Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
People Kill People,Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
People Kill People,Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
Perfect (Impulse Series),Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Perfect (Impulse Series),Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
Smoke (Burned Series),Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
The You I've Never Known,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Tilt,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
Tilt,Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
Traffick (Tricks Series),Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Traffick (Tricks Series),Banned in Libraries and Classrooms,,,Texas,Prosper Independent School District,Mar-22,Administrator
Triangles,Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
Triangles,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
Triangles,Banned in Libraries and Classrooms,,,Texas,Frisco Independent School District,Apr-22,Administrator
Triangles,Banned in Libraries and Classrooms,,,Virginia,Virginia Beach City Public Schools,May-22,Formal Challenge
Tricks (Tricks Series),Banned Pending Investigation,,,Florida,Brevard Public Schools,Mar-22,Administrator
Tricks (Tricks Series),Banned Pending Investigation,,,Florida,Indian River County School District,Nov-21,Administrator
Tricks (Tricks Series),Banned in Libraries and Classrooms,,,Florida,Jackson County School District,Apr-22,Administrator
Tricks (Tricks Series),Banned Pending Investigation,,,Florida,Orange County Public Schools,Nov-21,Formal Challenge
Tricks (Tricks Series),Banned in Libraries,,,Florida,Polk County Public Schools,Jan-22,Administrator
Tricks (Tricks Series),Banned in Libraries and Classrooms,,,Florida,St. Lucie Public Schools,Dec-21,Formal Challenge
Tricks (Tricks Series),Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
Tricks (Tricks Series),Banned in Libraries and Classrooms,,,Georgia,Cherokee County School District,Feb-22,Formal Challenge
Carter Reads the Newspaper,Banned Pending Investigation,"Tate, Don",,Florida,Duval County Public Schools,Jan-22,Administrator
Michelle,Banned in Classrooms,"Ford, A. G.",,Pennsylvania,Central York School District,Aug-21,Administrator
What Is the Women's Rights Movement? (What was...? Series),Banned in Classrooms,"Conley, Laurie",,Pennsylvania,Central York School District,Aug-21,Administrator
A Love Story Starring My Dead Best Friend,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
A Love Story Starring My Dead Best Friend,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
How Many Stars in the Sky?,Banned in Classrooms,"Ransome, James E.",,Pennsylvania,Central York School District,Aug-21,Administrator
The Kite Runner,Banned Pending Investigation,,,Florida,Brevard Public Schools,May-22,Administrator
The Kite Runner,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
The Kite Runner,Banned in Libraries,,,Florida,Polk County Public Schools,Jan-22,Administrator
The Kite Runner,Banned Pending Investigation,,,Florida,Santa Rosa County District Schools,Apr-22,Administrator
The Kite Runner,Banned in Libraries,,,Florida,St. Lucie Public Schools,Dec-21,Formal Challenge
The Kite Runner,Banned Pending Investigation,,,Florida,Walton County School District,Apr-22,Administrator
The Kite Runner,Banned in Classrooms,,,Georgia,Cherokee County School District,Feb-22,Formal Challenge
The Kite Runner,Banned in Libraries and Classrooms,,,Idaho,Nampa School District,May-22,Administrator
The Kite Runner,Banned Pending Investigation,,,Michigan,Gladwin Community Schools,May-22,Administrator
The Kite Runner,Banned in Libraries,,,Mississippi,Madison County Schools,Apr-22,Administrator
The Kite Runner,Banned Pending Investigation,,,Texas,Birdville Independent School District,Oct-21,Formal Challenge
The Kite Runner,Banned Pending Investigation,,,Texas,Fredericksburg Independent School District,Mar-22,Administrator
Virgie Goes to School with Us Boys,Banned Pending Investigation,"Lewis, E.B.",,Florida,Duval County Public Schools,Jan-22,Administrator
"Middle School's a Drag, You Better Werk!",Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
The Whispers,Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
The Whispers,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Totally Joe (The Misfits Series),Banned Pending Investigation,,,Texas,Granbury Independent School District,Jan-22,Administrator
Totally Joe (The Misfits Series),Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
Catching the Moon: The Story of a Young Girl's Baseball Dream,Banned in Classrooms,"DuBurke, Randy",,Pennsylvania,Central York School District,Aug-21,Administrator
Teen Legal Rights,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
My Friend Maya Loves to Dance,Banned in Classrooms,"Velásquez, Eric",,Pennsylvania,Central York School District,Aug-21,Administrator
GLBTQ*: The Survival Guide for Queer & Questioning Teens,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
"No Girls Allowed: Tales of Daring Women Dressed as Men for Love, Freedom and Adventure",Banned Pending Investigation,"Dawson, Willow",,Texas,Granbury Independent School District,Jan-22,Administrator
"No Girls Allowed: Tales of Daring Women Dressed as Men for Love, Freedom and Adventure",Banned Pending Investigation,"Dawson, Willow",,Texas,North East Independent School District,Dec-21,Administrator
Their Eyes Were Watching God,Banned in Libraries and Classrooms,,,Oklahoma,Edmond Public Schools,Oct-21,Administrator
Freaks and Revelations,Banned in Libraries,,,Texas,North East Independent School District,Dec-21,Administrator
A Complicated Love Story Set in Space,Banned Pending Investigation,,,Tennessee,Collierville Schools,Feb-22,Administrator
At the Edge of the Universe,Banned Pending Investigation,,,Texas,North East Independent School District,Dec-21,Administrator
Brave Face: A Memoir,Banned in Libraries and Classrooms,,,Florida,Indian River County School District,Nov-21,Administrator
